pert,gene,label,direction,split
ACTL6A,5-cholesterol homeostasis,0,-1,test_gene
ACTR5,1-mitochondrial respiratory chain,1,1,test_gene
ACTR5,2-targets of nonsense-mediated decay,1,0,test_gene
ACTR5,25-ribosome biogenesis,1,1,test_gene
ACTR6,1-mitochondrial respiratory chain,1,1,test_gene
ACTR6,2-targets of nonsense-mediated decay,0,-1,test_gene
ACTR6,25-ribosome biogenesis,1,0,test_gene
ACTR6,4-histone genes,0,-1,test_gene
ACTR6,5-cholesterol homeostasis,1,1,test_gene
ACTR8,1-mitochondrial respiratory chain,0,-1,test_gene
ACTR8,2-targets of nonsense-mediated decay,1,0,test_gene
ACTR8,4-histone genes,0,-1,test_gene
ACTR8,5-cholesterol homeostasis,0,-1,test_gene
ADAM10,1-mitochondrial respiratory chain,1,0,test_gene
ADAM10,2-targets of nonsense-mediated decay,1,0,test_gene
ADAM10,25-ribosome biogenesis,1,0,test_gene
ADAM10,4-histone genes,1,0,test_gene
ADAM10,5-cholesterol homeostasis,1,0,test_gene
ADNP2,25-ribosome biogenesis,1,0,test_gene
ADNP2,4-histone genes,1,1,test_gene
ADNP2,5-cholesterol homeostasis,1,0,test_gene
ADO,1-mitochondrial respiratory chain,1,1,test_gene
ADO,2-targets of nonsense-mediated decay,1,1,test_gene
ADO,25-ribosome biogenesis,1,0,test_gene
ADO,5-cholesterol homeostasis,0,-1,test_gene
ADSL,1-mitochondrial respiratory chain,0,-1,test_gene
ADSL,2-targets of nonsense-mediated decay,0,-1,test_gene
ADSL,25-ribosome biogenesis,1,0,test_gene
ADSL,5-cholesterol homeostasis,0,-1,test_gene
ADSS,2-targets of nonsense-mediated decay,0,-1,test_gene
ADSS,5-cholesterol homeostasis,0,-1,test_gene
AFG3L2,2-targets of nonsense-mediated decay,1,1,test_gene
AFG3L2,25-ribosome biogenesis,1,0,test_gene
AFG3L2,5-cholesterol homeostasis,1,0,test_gene
AGPAT5,2-targets of nonsense-mediated decay,0,-1,test_gene
AGPAT5,25-ribosome biogenesis,0,-1,test_gene
AGPAT5,4-histone genes,0,-1,test_gene
AHCY,1-mitochondrial respiratory chain,0,-1,test_gene
AHCY,2-targets of nonsense-mediated decay,1,0,test_gene
AHCY,25-ribosome biogenesis,0,-1,test_gene
AHCY,4-histone genes,0,-1,test_gene
AKIRIN2,4-histone genes,0,-1,test_gene
ALAS1,1-mitochondrial respiratory chain,1,0,test_gene
ALAS1,2-targets of nonsense-mediated decay,0,-1,test_gene
ALAS1,5-cholesterol homeostasis,0,-1,test_gene
ALDOA,2-targets of nonsense-mediated decay,0,-1,test_gene
ALDOA,25-ribosome biogenesis,1,0,test_gene
ALDOA,4-histone genes,0,-1,test_gene
ALDOA,5-cholesterol homeostasis,1,0,test_gene
ALG14,1-mitochondrial respiratory chain,0,-1,test_gene
ALG14,2-targets of nonsense-mediated decay,0,-1,test_gene
ALYREF,4-histone genes,0,-1,test_gene
ANGPT1,1-mitochondrial respiratory chain,0,-1,test_gene
ANGPT1,4-histone genes,0,-1,test_gene
ANKRD17,2-targets of nonsense-mediated decay,1,1,test_gene
ANKRD17,25-ribosome biogenesis,1,0,test_gene
ANKRD17,4-histone genes,1,1,test_gene
ANKRD17,5-cholesterol homeostasis,0,-1,test_gene
ANKRD39,4-histone genes,0,-1,test_gene
AP2A1,1-mitochondrial respiratory chain,1,0,test_gene
AP2A1,2-targets of nonsense-mediated decay,0,-1,test_gene
AP2A1,25-ribosome biogenesis,1,1,test_gene
AP2S1,1-mitochondrial respiratory chain,0,-1,test_gene
AP2S1,2-targets of nonsense-mediated decay,0,-1,test_gene
AP2S1,4-histone genes,0,-1,test_gene
AP2S1,5-cholesterol homeostasis,1,1,test_gene
AREL1,1-mitochondrial respiratory chain,0,-1,test_gene
AREL1,25-ribosome biogenesis,0,-1,test_gene
AREL1,4-histone genes,0,-1,test_gene
AREL1,5-cholesterol homeostasis,0,-1,test_gene
ARFGEF1,1-mitochondrial respiratory chain,1,0,test_gene
ARFGEF1,2-targets of nonsense-mediated decay,1,1,test_gene
ARFGEF1,25-ribosome biogenesis,0,-1,test_gene
ARFGEF1,4-histone genes,0,-1,test_gene
ARGLU1,1-mitochondrial respiratory chain,0,-1,test_gene
ARGLU1,2-targets of nonsense-mediated decay,1,1,test_gene
ARGLU1,4-histone genes,0,-1,test_gene
ARHGAP6,1-mitochondrial respiratory chain,1,1,test_gene
ARHGAP6,2-targets of nonsense-mediated decay,1,1,test_gene
ARHGAP6,25-ribosome biogenesis,1,0,test_gene
ARHGAP6,4-histone genes,1,1,test_gene
ARHGAP6,5-cholesterol homeostasis,0,-1,test_gene
ARID5B,4-histone genes,0,-1,test_gene
ARIH1,1-mitochondrial respiratory chain,0,-1,test_gene
ARIH1,2-targets of nonsense-mediated decay,0,-1,test_gene
ARIH1,25-ribosome biogenesis,1,0,test_gene
ARIH1,4-histone genes,0,-1,test_gene
ARL1,1-mitochondrial respiratory chain,0,-1,test_gene
ARL1,2-targets of nonsense-mediated decay,0,-1,test_gene
ARL1,4-histone genes,0,-1,test_gene
ARL6IP6,1-mitochondrial respiratory chain,1,1,test_gene
ARL6IP6,2-targets of nonsense-mediated decay,1,0,test_gene
ARL6IP6,4-histone genes,0,-1,test_gene
ARL6IP6,5-cholesterol homeostasis,0,-1,test_gene
ARPC1B,1-mitochondrial respiratory chain,1,1,test_gene
ARPC1B,2-targets of nonsense-mediated decay,0,-1,test_gene
ARPC1B,25-ribosome biogenesis,1,0,test_gene
ARPC1B,4-histone genes,1,1,test_gene
ARPC1B,5-cholesterol homeostasis,0,-1,test_gene
ARRB2,1-mitochondrial respiratory chain,0,-1,test_gene
ARRB2,2-targets of nonsense-mediated decay,0,-1,test_gene
ARRB2,25-ribosome biogenesis,0,-1,test_gene
ARRB2,5-cholesterol homeostasis,0,-1,test_gene
ASB6,2-targets of nonsense-mediated decay,0,-1,test_gene
ASCC3,1-mitochondrial respiratory chain,0,-1,test_gene
ASCC3,2-targets of nonsense-mediated decay,1,1,test_gene
ASCC3,25-ribosome biogenesis,1,0,test_gene
ASCC3,4-histone genes,0,-1,test_gene
ASCC3,5-cholesterol homeostasis,1,0,test_gene
ASPH,1-mitochondrial respiratory chain,0,-1,test_gene
ASPH,25-ribosome biogenesis,0,-1,test_gene
ASPH,4-histone genes,0,-1,test_gene
ATAD3A,1-mitochondrial respiratory chain,1,0,test_gene
ATAD3A,4-histone genes,0,-1,test_gene
ATAD5,2-targets of nonsense-mediated decay,0,-1,test_gene
ATAD5,4-histone genes,1,1,test_gene
ATAD5,5-cholesterol homeostasis,0,-1,test_gene
ATF4,1-mitochondrial respiratory chain,1,0,test_gene
ATF4,2-targets of nonsense-mediated decay,1,1,test_gene
ATF4,25-ribosome biogenesis,0,-1,test_gene
ATF4,4-histone genes,0,-1,test_gene
ATF5,1-mitochondrial respiratory chain,1,0,test_gene
ATF5,2-targets of nonsense-mediated decay,0,-1,test_gene
ATF5,25-ribosome biogenesis,1,0,test_gene
ATF5,5-cholesterol homeostasis,1,0,test_gene
ATG4B,25-ribosome biogenesis,0,-1,test_gene
ATL2,1-mitochondrial respiratory chain,0,-1,test_gene
ATL2,2-targets of nonsense-mediated decay,1,1,test_gene
ATL2,5-cholesterol homeostasis,0,-1,test_gene
ATP11B,1-mitochondrial respiratory chain,1,0,test_gene
ATP11B,2-targets of nonsense-mediated decay,1,1,test_gene
ATP11B,4-histone genes,1,0,test_gene
ATP11B,5-cholesterol homeostasis,1,0,test_gene
ATP1A1,1-mitochondrial respiratory chain,1,0,test_gene
ATP1A1,25-ribosome biogenesis,1,0,test_gene
ATP1A1,4-histone genes,1,1,test_gene
ATP1A1,5-cholesterol homeostasis,1,0,test_gene
ATP5F1A,2-targets of nonsense-mediated decay,1,1,test_gene
ATP5F1A,25-ribosome biogenesis,1,0,test_gene
ATP5F1A,4-histone genes,1,0,test_gene
ATP5F1A,5-cholesterol homeostasis,1,0,test_gene
ATP5F1C,1-mitochondrial respiratory chain,1,0,test_gene
ATP5F1C,2-targets of nonsense-mediated decay,1,1,test_gene
ATP5F1C,25-ribosome biogenesis,1,0,test_gene
ATP5F1C,4-histone genes,1,0,test_gene
ATP5F1C,5-cholesterol homeostasis,1,0,test_gene
ATP5F1D,1-mitochondrial respiratory chain,0,-1,test_gene
ATP5F1D,25-ribosome biogenesis,0,-1,test_gene
ATP5F1D,4-histone genes,1,0,test_gene
ATP5MD,2-targets of nonsense-mediated decay,0,-1,test_gene
ATP5MD,25-ribosome biogenesis,1,1,test_gene
ATP5ME,1-mitochondrial respiratory chain,1,0,test_gene
ATP5ME,2-targets of nonsense-mediated decay,1,1,test_gene
ATP5ME,25-ribosome biogenesis,1,0,test_gene
ATP5ME,4-histone genes,1,0,test_gene
ATP5ME,5-cholesterol homeostasis,1,0,test_gene
ATP5MG,1-mitochondrial respiratory chain,1,0,test_gene
ATP5MG,2-targets of nonsense-mediated decay,1,1,test_gene
ATP5MG,25-ribosome biogenesis,1,0,test_gene
ATP5MG,4-histone genes,1,0,test_gene
ATP5MG,5-cholesterol homeostasis,1,0,test_gene
ATP5MPL,1-mitochondrial respiratory chain,0,-1,test_gene
ATP5MPL,2-targets of nonsense-mediated decay,1,1,test_gene
ATP5MPL,25-ribosome biogenesis,1,0,test_gene
ATP5MPL,4-histone genes,1,0,test_gene
ATP5MPL,5-cholesterol homeostasis,1,0,test_gene
ATP5PB,25-ribosome biogenesis,1,0,test_gene
ATP5PB,4-histone genes,1,0,test_gene
ATP5PD,1-mitochondrial respiratory chain,1,0,test_gene
ATP5PD,2-targets of nonsense-mediated decay,1,1,test_gene
ATP5PD,25-ribosome biogenesis,1,0,test_gene
ATP5PD,4-histone genes,1,0,test_gene
ATP5PD,5-cholesterol homeostasis,1,0,test_gene
ATP6AP1,1-mitochondrial respiratory chain,0,-1,test_gene
ATP6AP1,2-targets of nonsense-mediated decay,0,-1,test_gene
ATP6AP1,25-ribosome biogenesis,1,0,test_gene
ATP6AP1,4-histone genes,0,-1,test_gene
ATP6AP1,5-cholesterol homeostasis,1,1,test_gene
ATP6V1A,1-mitochondrial respiratory chain,0,-1,test_gene
ATP6V1A,25-ribosome biogenesis,1,0,test_gene
ATP6V1A,4-histone genes,0,-1,test_gene
ATP6V1A,5-cholesterol homeostasis,1,1,test_gene
ATP6V1B2,1-mitochondrial respiratory chain,0,-1,test_gene
ATP6V1B2,25-ribosome biogenesis,1,0,test_gene
ATP6V1B2,4-histone genes,0,-1,test_gene
ATP6V1C1,1-mitochondrial respiratory chain,0,-1,test_gene
ATP6V1C1,2-targets of nonsense-mediated decay,0,-1,test_gene
ATP6V1C1,25-ribosome biogenesis,1,0,test_gene
ATP6V1C1,4-histone genes,0,-1,test_gene
ATP6V1C1,5-cholesterol homeostasis,1,1,test_gene
ATP6V1H,1-mitochondrial respiratory chain,0,-1,test_gene
ATP6V1H,2-targets of nonsense-mediated decay,0,-1,test_gene
ATP6V1H,25-ribosome biogenesis,1,0,test_gene
ATP6V1H,5-cholesterol homeostasis,1,1,test_gene
ATR,1-mitochondrial respiratory chain,1,0,test_gene
ATR,2-targets of nonsense-mediated decay,0,-1,test_gene
ATR,25-ribosome biogenesis,1,0,test_gene
ATR,4-histone genes,0,-1,test_gene
ATRIP,2-targets of nonsense-mediated decay,1,1,test_gene
ATRIP,25-ribosome biogenesis,1,0,test_gene
ATRIP,4-histone genes,0,-1,test_gene
ATRIP,5-cholesterol homeostasis,1,0,test_gene
ATXN10,2-targets of nonsense-mediated decay,0,-1,test_gene
ATXN10,25-ribosome biogenesis,0,-1,test_gene
ATXN10,4-histone genes,1,0,test_gene
ATXN10,5-cholesterol homeostasis,1,0,test_gene
AURKAIP1,1-mitochondrial respiratory chain,0,-1,test_gene
AURKAIP1,2-targets of nonsense-mediated decay,0,-1,test_gene
AURKAIP1,25-ribosome biogenesis,0,-1,test_gene
BAD,1-mitochondrial respiratory chain,0,-1,test_gene
BAD,25-ribosome biogenesis,0,-1,test_gene
BAP1,1-mitochondrial respiratory chain,0,-1,test_gene
BAP1,2-targets of nonsense-mediated decay,0,-1,test_gene
BAP1,25-ribosome biogenesis,1,0,test_gene
BAP1,4-histone genes,1,0,test_gene
BCAS2,1-mitochondrial respiratory chain,1,0,test_gene
BCAS2,2-targets of nonsense-mediated decay,1,1,test_gene
BCAS2,25-ribosome biogenesis,1,0,test_gene
BCAS2,4-histone genes,1,1,test_gene
BCR,1-mitochondrial respiratory chain,1,0,test_gene
BCR,2-targets of nonsense-mediated decay,0,-1,test_gene
BCR,25-ribosome biogenesis,1,0,test_gene
BCR,4-histone genes,0,-1,test_gene
BCR,5-cholesterol homeostasis,0,-1,test_gene
BET1,1-mitochondrial respiratory chain,0,-1,test_gene
BET1,25-ribosome biogenesis,1,0,test_gene
BET1,4-histone genes,0,-1,test_gene
BET1,5-cholesterol homeostasis,1,0,test_gene
BGLAP,2-targets of nonsense-mediated decay,0,-1,test_gene
BGLAP,25-ribosome biogenesis,1,0,test_gene
BGLAP,4-histone genes,0,-1,test_gene
BMP2K,2-targets of nonsense-mediated decay,1,0,test_gene
BMP2K,25-ribosome biogenesis,1,0,test_gene
BMP2K,4-histone genes,1,1,test_gene
BNIP1,1-mitochondrial respiratory chain,1,0,test_gene
BNIP1,2-targets of nonsense-mediated decay,1,1,test_gene
BNIP1,25-ribosome biogenesis,1,0,test_gene
BNIP1,4-histone genes,1,0,test_gene
BNIP1,5-cholesterol homeostasis,0,-1,test_gene
BRD3,1-mitochondrial respiratory chain,0,-1,test_gene
BRD3,2-targets of nonsense-mediated decay,0,-1,test_gene
BRD8,1-mitochondrial respiratory chain,1,1,test_gene
BRD8,2-targets of nonsense-mediated decay,1,1,test_gene
BRD8,25-ribosome biogenesis,1,0,test_gene
BRD8,4-histone genes,1,1,test_gene
BRD8,5-cholesterol homeostasis,0,-1,test_gene
BRIX1,1-mitochondrial respiratory chain,1,0,test_gene
BRIX1,2-targets of nonsense-mediated decay,1,0,test_gene
BRIX1,25-ribosome biogenesis,1,0,test_gene
BRIX1,4-histone genes,0,-1,test_gene
BRIX1,5-cholesterol homeostasis,1,0,test_gene
BTAF1,1-mitochondrial respiratory chain,1,1,test_gene
BTAF1,2-targets of nonsense-mediated decay,1,0,test_gene
BTAF1,4-histone genes,1,1,test_gene
BTAF1,5-cholesterol homeostasis,0,-1,test_gene
BTF3,1-mitochondrial respiratory chain,1,0,test_gene
BTF3,2-targets of nonsense-mediated decay,0,-1,test_gene
BTF3,25-ribosome biogenesis,1,0,test_gene
BTF3,4-histone genes,1,0,test_gene
BTF3,5-cholesterol homeostasis,1,0,test_gene
BUB1B,1-mitochondrial respiratory chain,0,-1,test_gene
BUB1B,4-histone genes,0,-1,test_gene
BUB3,1-mitochondrial respiratory chain,0,-1,test_gene
BUB3,2-targets of nonsense-mediated decay,1,1,test_gene
BUB3,25-ribosome biogenesis,1,0,test_gene
BUD23,2-targets of nonsense-mediated decay,0,-1,test_gene
BUD23,25-ribosome biogenesis,1,1,test_gene
BUD23,4-histone genes,0,-1,test_gene
BUD23,5-cholesterol homeostasis,0,-1,test_gene
BYSL,1-mitochondrial respiratory chain,1,0,test_gene
BYSL,25-ribosome biogenesis,1,1,test_gene
BYSL,5-cholesterol homeostasis,1,0,test_gene
C12orf60,1-mitochondrial respiratory chain,1,0,test_gene
C12orf60,2-targets of nonsense-mediated decay,1,1,test_gene
C12orf60,25-ribosome biogenesis,1,0,test_gene
C12orf60,4-histone genes,0,-1,test_gene
C17orf99,1-mitochondrial respiratory chain,0,-1,test_gene
C17orf99,2-targets of nonsense-mediated decay,0,-1,test_gene
C18orf21,25-ribosome biogenesis,1,1,test_gene
C18orf21,4-histone genes,0,-1,test_gene
C1D,25-ribosome biogenesis,0,-1,test_gene
C1D,4-histone genes,1,1,test_gene
C1D,5-cholesterol homeostasis,0,-1,test_gene
C1QBP,1-mitochondrial respiratory chain,1,1,test_gene
C1QBP,25-ribosome biogenesis,1,0,test_gene
C1QBP,5-cholesterol homeostasis,1,0,test_gene
CAD,1-mitochondrial respiratory chain,1,0,test_gene
CAD,2-targets of nonsense-mediated decay,1,0,test_gene
CAD,4-histone genes,1,1,test_gene
CAD,5-cholesterol homeostasis,1,0,test_gene
CALCOCO1,2-targets of nonsense-mediated decay,0,-1,test_gene
CALCOCO1,25-ribosome biogenesis,0,-1,test_gene
CALCOCO1,4-histone genes,0,-1,test_gene
CALR,25-ribosome biogenesis,0,-1,test_gene
CALR,4-histone genes,1,1,test_gene
CAMLG,25-ribosome biogenesis,1,0,test_gene
CAMLG,4-histone genes,0,-1,test_gene
CAMLG,5-cholesterol homeostasis,0,-1,test_gene
CARF,1-mitochondrial respiratory chain,1,0,test_gene
CARF,25-ribosome biogenesis,0,-1,test_gene
CARF,4-histone genes,0,-1,test_gene
CARF,5-cholesterol homeostasis,1,0,test_gene
CARM1,2-targets of nonsense-mediated decay,0,-1,test_gene
CARM1,25-ribosome biogenesis,0,-1,test_gene
CARM1,4-histone genes,0,-1,test_gene
CARM1,5-cholesterol homeostasis,1,0,test_gene
CARS,1-mitochondrial respiratory chain,1,0,test_gene
CARS,2-targets of nonsense-mediated decay,0,-1,test_gene
CARS,25-ribosome biogenesis,1,0,test_gene
CARS,4-histone genes,1,0,test_gene
CARS,5-cholesterol homeostasis,1,0,test_gene
CASP8AP2,1-mitochondrial respiratory chain,1,1,test_gene
CASP8AP2,25-ribosome biogenesis,1,0,test_gene
CASP8AP2,4-histone genes,1,1,test_gene
CASP8AP2,5-cholesterol homeostasis,0,-1,test_gene
CCAR1,25-ribosome biogenesis,0,-1,test_gene
CCAR1,4-histone genes,1,0,test_gene
CCAR1,5-cholesterol homeostasis,0,-1,test_gene
CCDC115,1-mitochondrial respiratory chain,1,1,test_gene
CCDC115,2-targets of nonsense-mediated decay,0,-1,test_gene
CCDC115,4-histone genes,0,-1,test_gene
CCDC115,5-cholesterol homeostasis,1,1,test_gene
CCDC125,1-mitochondrial respiratory chain,1,0,test_gene
CCDC125,2-targets of nonsense-mediated decay,0,-1,test_gene
CCDC125,4-histone genes,1,0,test_gene
CCDC125,5-cholesterol homeostasis,0,-1,test_gene
CCDC59,25-ribosome biogenesis,1,1,test_gene
CCDC59,4-histone genes,0,-1,test_gene
CCDC59,5-cholesterol homeostasis,0,-1,test_gene
CCDC6,1-mitochondrial respiratory chain,1,1,test_gene
CCDC6,2-targets of nonsense-mediated decay,0,-1,test_gene
CCDC6,25-ribosome biogenesis,1,0,test_gene
CCDC6,4-histone genes,0,-1,test_gene
CCDC6,5-cholesterol homeostasis,0,-1,test_gene
CCDC78,1-mitochondrial respiratory chain,0,-1,test_gene
CCDC78,25-ribosome biogenesis,1,0,test_gene
CCDC78,4-histone genes,0,-1,test_gene
CCDC78,5-cholesterol homeostasis,0,-1,test_gene
CCDC84,1-mitochondrial respiratory chain,1,0,test_gene
CCDC84,2-targets of nonsense-mediated decay,1,1,test_gene
CCDC84,25-ribosome biogenesis,1,0,test_gene
CCDC84,4-histone genes,0,-1,test_gene
CCDC84,5-cholesterol homeostasis,1,0,test_gene
CCDC9,1-mitochondrial respiratory chain,1,0,test_gene
CCDC9,2-targets of nonsense-mediated decay,1,1,test_gene
CCDC9,4-histone genes,1,1,test_gene
CCDC9,5-cholesterol homeostasis,0,-1,test_gene
CCND3,4-histone genes,0,-1,test_gene
CCNG1,1-mitochondrial respiratory chain,0,-1,test_gene
CCNG1,2-targets of nonsense-mediated decay,1,0,test_gene
CCNG1,25-ribosome biogenesis,0,-1,test_gene
CCNG1,4-histone genes,0,-1,test_gene
CCNH,1-mitochondrial respiratory chain,1,1,test_gene
CCNH,2-targets of nonsense-mediated decay,1,0,test_gene
CCNH,25-ribosome biogenesis,1,0,test_gene
CCNH,4-histone genes,1,1,test_gene
CCNH,5-cholesterol homeostasis,0,-1,test_gene
CCNK,2-targets of nonsense-mediated decay,0,-1,test_gene
CCNK,25-ribosome biogenesis,0,-1,test_gene
CCNK,5-cholesterol homeostasis,0,-1,test_gene
CCNQ,1-mitochondrial respiratory chain,1,0,test_gene
CCNQ,2-targets of nonsense-mediated decay,0,-1,test_gene
CCNQ,25-ribosome biogenesis,1,0,test_gene
CCNQ,5-cholesterol homeostasis,1,0,test_gene
CCT2,1-mitochondrial respiratory chain,1,0,test_gene
CCT2,2-targets of nonsense-mediated decay,0,-1,test_gene
CCT2,25-ribosome biogenesis,1,0,test_gene
CCT2,5-cholesterol homeostasis,1,0,test_gene
CCT3,1-mitochondrial respiratory chain,1,0,test_gene
CCT3,2-targets of nonsense-mediated decay,0,-1,test_gene
CCT3,25-ribosome biogenesis,1,0,test_gene
CCT3,5-cholesterol homeostasis,1,0,test_gene
CCT5,1-mitochondrial respiratory chain,1,0,test_gene
CCT5,2-targets of nonsense-mediated decay,0,-1,test_gene
CCT5,25-ribosome biogenesis,1,0,test_gene
CCT5,4-histone genes,1,0,test_gene
CCT7,1-mitochondrial respiratory chain,1,0,test_gene
CCT7,2-targets of nonsense-mediated decay,0,-1,test_gene
CCT7,25-ribosome biogenesis,1,0,test_gene
CCT7,4-histone genes,1,0,test_gene
CCT7,5-cholesterol homeostasis,1,0,test_gene
CCT8,1-mitochondrial respiratory chain,0,-1,test_gene
CCT8,2-targets of nonsense-mediated decay,0,-1,test_gene
CCT8,4-histone genes,1,0,test_gene
CD2BP2,2-targets of nonsense-mediated decay,0,-1,test_gene
CD2BP2,4-histone genes,0,-1,test_gene
CD3EAP,1-mitochondrial respiratory chain,1,0,test_gene
CD3EAP,2-targets of nonsense-mediated decay,1,0,test_gene
CD3EAP,25-ribosome biogenesis,0,-1,test_gene
CD3EAP,4-histone genes,0,-1,test_gene
CD3EAP,5-cholesterol homeostasis,1,0,test_gene
CD55,1-mitochondrial respiratory chain,0,-1,test_gene
CD55,25-ribosome biogenesis,0,-1,test_gene
CD55,5-cholesterol homeostasis,0,-1,test_gene
CD99,1-mitochondrial respiratory chain,1,0,test_gene
CD99,2-targets of nonsense-mediated decay,1,1,test_gene
CD99,4-histone genes,1,0,test_gene
CD99,5-cholesterol homeostasis,1,0,test_gene
CDAN1,1-mitochondrial respiratory chain,0,-1,test_gene
CDAN1,2-targets of nonsense-mediated decay,1,0,test_gene
CDAN1,25-ribosome biogenesis,1,0,test_gene
CDAN1,4-histone genes,1,0,test_gene
CDC25B,2-targets of nonsense-mediated decay,0,-1,test_gene
CDC25B,25-ribosome biogenesis,1,0,test_gene
CDC25B,5-cholesterol homeostasis,1,1,test_gene
CDC42,1-mitochondrial respiratory chain,1,1,test_gene
CDC42,2-targets of nonsense-mediated decay,1,1,test_gene
CDC42,4-histone genes,0,-1,test_gene
CDC73,1-mitochondrial respiratory chain,0,-1,test_gene
CDC73,25-ribosome biogenesis,1,0,test_gene
CDC73,4-histone genes,1,1,test_gene
CDIPT,1-mitochondrial respiratory chain,0,-1,test_gene
CDIPT,2-targets of nonsense-mediated decay,0,-1,test_gene
CDIPT,5-cholesterol homeostasis,1,1,test_gene
CDK9,1-mitochondrial respiratory chain,1,1,test_gene
CDK9,25-ribosome biogenesis,0,-1,test_gene
CDK9,5-cholesterol homeostasis,0,-1,test_gene
CDR2L,1-mitochondrial respiratory chain,1,0,test_gene
CDR2L,2-targets of nonsense-mediated decay,0,-1,test_gene
CDR2L,4-histone genes,1,0,test_gene
CDR2L,5-cholesterol homeostasis,1,0,test_gene
CDS2,2-targets of nonsense-mediated decay,0,-1,test_gene
CDS2,25-ribosome biogenesis,1,0,test_gene
CDS2,4-histone genes,0,-1,test_gene
CDS2,5-cholesterol homeostasis,1,1,test_gene
CEBPG,1-mitochondrial respiratory chain,1,0,test_gene
CEBPG,2-targets of nonsense-mediated decay,1,1,test_gene
CEBPG,4-histone genes,1,0,test_gene
CENPC,1-mitochondrial respiratory chain,0,-1,test_gene
CENPC,2-targets of nonsense-mediated decay,1,0,test_gene
CENPC,25-ribosome biogenesis,1,0,test_gene
CENPC,5-cholesterol homeostasis,0,-1,test_gene
CENPE,2-targets of nonsense-mediated decay,0,-1,test_gene
CENPE,25-ribosome biogenesis,0,-1,test_gene
CENPE,4-histone genes,1,1,test_gene
CENPE,5-cholesterol homeostasis,0,-1,test_gene
CENPJ,1-mitochondrial respiratory chain,1,0,test_gene
CENPJ,2-targets of nonsense-mediated decay,0,-1,test_gene
CENPJ,25-ribosome biogenesis,0,-1,test_gene
CENPJ,4-histone genes,0,-1,test_gene
CENPJ,5-cholesterol homeostasis,1,0,test_gene
CENPK,1-mitochondrial respiratory chain,0,-1,test_gene
CENPK,2-targets of nonsense-mediated decay,0,-1,test_gene
CENPK,25-ribosome biogenesis,1,0,test_gene
CENPK,4-histone genes,1,1,test_gene
CENPP,1-mitochondrial respiratory chain,1,0,test_gene
CENPP,25-ribosome biogenesis,0,-1,test_gene
CENPP,4-histone genes,0,-1,test_gene
CENPP,5-cholesterol homeostasis,1,0,test_gene
