pert,gene,label,split
ABCB7,11-unfolded protein response and mTORC1 signaling,0,train
ABCB7,14-erythroid differentiation,0,train
ABCB7,15-proteasome genes,1,train
ABCB7,19-mitochondrial protein translocation and oxidative phopshorylation,1,train
ABCB7,20-cell cycle,0,train
ABCB7,21-growth signaling,0,train
ABCB7,22-growth and targets of Myc,1,train
ABCB7,23-hnRNP genes,1,train
ABCB7,24-growth and targets of Myc,1,train
ABCB7,3-unfolded protein response,0,train
ABCB7,6-dysregulated lncRNA/antisense transcripts,0,train
ABCB7,9-translation,0,train
ABCE1,11-unfolded protein response and mTORC1 signaling,1,train
ABCE1,12-oxidative phosphorylation,1,train
ABCE1,13-erythroid differentiation,0,train
ABCE1,14-erythroid differentiation,1,train
ABCE1,15-proteasome genes,0,train
ABCE1,16-NFkB signaling,1,train
ABCE1,17-myeloid differentiation,1,train
ABCE1,18-cell cycle,1,train
ABCE1,20-cell cycle,1,train
ABCE1,21-growth signaling,1,train
ABCE1,22-growth and targets of Myc,1,train
ABCE1,23-hnRNP genes,1,train
ABCE1,24-growth and targets of Myc,1,train
ABCE1,3-unfolded protein response,0,train
ABCE1,6-dysregulated lncRNA/antisense transcripts,0,train
ABCE1,7-translation,1,train
ABCE1,8-translation,1,train
ABCE1,9-translation,1,train
ABO,13-erythroid differentiation,0,train
ABO,15-proteasome genes,0,train
ABO,19-mitochondrial protein translocation and oxidative phopshorylation,0,train
ABO,21-growth signaling,0,train
ABO,23-hnRNP genes,0,train
ABO,24-growth and targets of Myc,0,train
ABO,7-translation,0,train
ABT1,10-unfolded protein response and mTORC1 signaling,0,train
ABT1,12-oxidative phosphorylation,0,train
ABT1,15-proteasome genes,0,train
ABT1,16-NFkB signaling,0,train
ABT1,18-cell cycle,0,train
ABT1,21-growth signaling,1,train
ABT1,22-growth and targets of Myc,1,train
ABT1,23-hnRNP genes,0,train
ABT1,24-growth and targets of Myc,0,train
ABT1,6-dysregulated lncRNA/antisense transcripts,0,train
ABT1,7-translation,1,train
ABT1,8-translation,1,train
ABT1,9-translation,1,train
ACAD10,10-unfolded protein response and mTORC1 signaling,1,train
ACAD10,12-oxidative phosphorylation,0,train
ACAD10,14-erythroid differentiation,0,train
ACAD10,15-proteasome genes,0,train
ACAD10,16-NFkB signaling,0,train
ACAD10,18-cell cycle,0,train
ACAD10,19-mitochondrial protein translocation and oxidative phopshorylation,1,train
ACAD10,20-cell cycle,0,train
ACAD10,22-growth and targets of Myc,1,train
ACAD10,24-growth and targets of Myc,1,train
ACAD10,6-dysregulated lncRNA/antisense transcripts,0,train
ACAD10,7-translation,1,train
ACAD10,9-translation,1,train
ACSL3,10-unfolded protein response and mTORC1 signaling,0,train
ACSL3,11-unfolded protein response and mTORC1 signaling,0,train
ACSL3,12-oxidative phosphorylation,0,train
ACSL3,14-erythroid differentiation,1,train
ACSL3,15-proteasome genes,0,train
ACSL3,17-myeloid differentiation,1,train
ACSL3,18-cell cycle,0,train
ACSL3,20-cell cycle,0,train
ACSL3,22-growth and targets of Myc,1,train
ACSL3,23-hnRNP genes,0,train
ACSL3,7-translation,0,train
ACSS2,10-unfolded protein response and mTORC1 signaling,1,train
ACSS2,11-unfolded protein response and mTORC1 signaling,1,train
ACSS2,12-oxidative phosphorylation,0,train
ACSS2,13-erythroid differentiation,1,train
ACSS2,14-erythroid differentiation,0,train
ACSS2,15-proteasome genes,1,train
ACSS2,16-NFkB signaling,0,train
ACSS2,17-myeloid differentiation,1,train
ACSS2,18-cell cycle,0,train
ACSS2,19-mitochondrial protein translocation and oxidative phopshorylation,1,train
ACSS2,21-growth signaling,0,train
ACSS2,22-growth and targets of Myc,0,train
ACSS2,23-hnRNP genes,1,train
ACSS2,24-growth and targets of Myc,0,train
ACSS2,3-unfolded protein response,0,train
ACSS2,7-translation,1,train
ACSS2,8-translation,1,train
ACSS2,9-translation,1,train
ACTL6A,10-unfolded protein response and mTORC1 signaling,1,train
ACTL6A,11-unfolded protein response and mTORC1 signaling,0,train
ACTL6A,12-oxidative phosphorylation,1,train
ACTL6A,14-erythroid differentiation,0,train
ACTL6A,15-proteasome genes,0,train
ACTL6A,16-NFkB signaling,0,train
ACTL6A,17-myeloid differentiation,1,train
ACTL6A,18-cell cycle,0,train
ACTL6A,22-growth and targets of Myc,0,train
ACTL6A,23-hnRNP genes,1,train
ACTL6A,24-growth and targets of Myc,1,train
ACTL6A,3-unfolded protein response,1,train
ACTL6A,6-dysregulated lncRNA/antisense transcripts,1,train
ACTL6A,8-translation,0,train
ACTL6A,9-translation,0,train
ACTR5,12-oxidative phosphorylation,1,train
ACTR5,13-erythroid differentiation,0,train
ACTR5,14-erythroid differentiation,0,train
ACTR5,16-NFkB signaling,0,train
ACTR5,17-myeloid differentiation,1,train
ACTR5,19-mitochondrial protein translocation and oxidative phopshorylation,0,train
ACTR5,20-cell cycle,0,train
ACTR5,21-growth signaling,0,train
ACTR5,22-growth and targets of Myc,0,train
ACTR5,23-hnRNP genes,0,train
ACTR5,3-unfolded protein response,0,train
ACTR5,6-dysregulated lncRNA/antisense transcripts,1,train
ACTR5,7-translation,1,train
ACTR5,8-translation,1,train
ACTR5,9-translation,0,train
ACTR6,10-unfolded protein response and mTORC1 signaling,1,train
ACTR6,12-oxidative phosphorylation,1,train
ACTR6,13-erythroid differentiation,0,train
ACTR6,14-erythroid differentiation,0,train
ACTR6,15-proteasome genes,1,train
ACTR6,16-NFkB signaling,0,train
ACTR6,17-myeloid differentiation,0,train
ACTR6,18-cell cycle,0,train
ACTR6,19-mitochondrial protein translocation and oxidative phopshorylation,1,train
ACTR6,20-cell cycle,0,train
ACTR6,22-growth and targets of Myc,1,train
ACTR6,23-hnRNP genes,1,train
ACTR6,24-growth and targets of Myc,1,train
ACTR6,6-dysregulated lncRNA/antisense transcripts,0,train
ACTR6,7-translation,1,train
ACTR6,9-translation,0,train
ACTR8,10-unfolded protein response and mTORC1 signaling,1,train
ACTR8,11-unfolded protein response and mTORC1 signaling,1,train
ACTR8,13-erythroid differentiation,1,train
ACTR8,14-erythroid differentiation,0,train
ACTR8,15-proteasome genes,1,train
ACTR8,16-NFkB signaling,0,train
ACTR8,17-myeloid differentiation,1,train
ACTR8,19-mitochondrial protein translocation and oxidative phopshorylation,0,train
ACTR8,21-growth signaling,0,train
ACTR8,22-growth and targets of Myc,1,train
ACTR8,24-growth and targets of Myc,0,train
ACTR8,3-unfolded protein response,0,train
ACTR8,6-dysregulated lncRNA/antisense transcripts,1,train
ACTR8,7-translation,1,train
ACTR8,8-translation,1,train
ACTR8,9-translation,0,train
ADAM10,10-unfolded protein response and mTORC1 signaling,1,train
ADAM10,11-unfolded protein response and mTORC1 signaling,1,train
ADAM10,12-oxidative phosphorylation,0,train
ADAM10,13-erythroid differentiation,0,train
ADAM10,14-erythroid differentiation,1,train
ADAM10,15-proteasome genes,1,train
ADAM10,16-NFkB signaling,1,train
ADAM10,17-myeloid differentiation,1,train
ADAM10,18-cell cycle,1,train
ADAM10,19-mitochondrial protein translocation and oxidative phopshorylation,1,train
ADAM10,20-cell cycle,1,train
ADAM10,22-growth and targets of Myc,1,train
ADAM10,23-hnRNP genes,1,train
ADAM10,24-growth and targets of Myc,1,train
ADAM10,3-unfolded protein response,0,train
ADAM10,7-translation,1,train
ADAM10,8-translation,1,train
ADAM10,9-translation,1,train
ADNP2,10-unfolded protein response and mTORC1 signaling,0,train
ADNP2,11-unfolded protein response and mTORC1 signaling,1,train
ADNP2,12-oxidative phosphorylation,0,train
ADNP2,13-erythroid differentiation,0,train
ADNP2,15-proteasome genes,1,train
ADNP2,16-NFkB signaling,0,train
ADNP2,17-myeloid differentiation,1,train
ADNP2,19-mitochondrial protein translocation and oxidative phopshorylation,1,train
ADNP2,20-cell cycle,0,train
ADNP2,21-growth signaling,1,train
ADNP2,22-growth and targets of Myc,0,train
ADNP2,23-hnRNP genes,1,train
ADNP2,24-growth and targets of Myc,1,train
ADNP2,7-translation,1,train
ADNP2,8-translation,1,train
ADNP2,9-translation,1,train
ADO,10-unfolded protein response and mTORC1 signaling,0,train
ADO,11-unfolded protein response and mTORC1 signaling,0,train
ADO,13-erythroid differentiation,1,train
ADO,14-erythroid differentiation,0,train
ADO,15-proteasome genes,1,train
ADO,17-myeloid differentiation,0,train
ADO,18-cell cycle,1,train
ADO,19-mitochondrial protein translocation and oxidative phopshorylation,1,train
ADO,21-growth signaling,0,train
ADO,22-growth and targets of Myc,1,train
ADO,23-hnRNP genes,1,train
ADO,24-growth and targets of Myc,1,train
ADO,3-unfolded protein response,1,train
ADO,6-dysregulated lncRNA/antisense transcripts,0,train
ADO,7-translation,1,train
ADO,8-translation,1,train
ADO,9-translation,1,train
ADSL,10-unfolded protein response and mTORC1 signaling,1,train
ADSL,11-unfolded protein response and mTORC1 signaling,1,train
ADSL,13-erythroid differentiation,1,train
ADSL,15-proteasome genes,1,train
ADSL,16-NFkB signaling,0,train
ADSL,17-myeloid differentiation,0,train
ADSL,18-cell cycle,0,train
ADSL,19-mitochondrial protein translocation and oxidative phopshorylation,1,train
ADSL,20-cell cycle,0,train
ADSL,21-growth signaling,0,train
ADSL,22-growth and targets of Myc,1,train
ADSL,23-hnRNP genes,1,train
ADSL,24-growth and targets of Myc,1,train
ADSL,6-dysregulated lncRNA/antisense transcripts,1,train
ADSL,8-translation,0,train
ADSL,9-translation,0,train
ADSS,10-unfolded protein response and mTORC1 signaling,0,train
ADSS,11-unfolded protein response and mTORC1 signaling,0,train
ADSS,12-oxidative phosphorylation,0,train
ADSS,13-erythroid differentiation,1,train
ADSS,14-erythroid differentiation,1,train
ADSS,15-proteasome genes,1,train
ADSS,16-NFkB signaling,0,train
ADSS,17-myeloid differentiation,0,train
ADSS,19-mitochondrial protein translocation and oxidative phopshorylation,1,train
ADSS,22-growth and targets of Myc,0,train
ADSS,23-hnRNP genes,1,train
ADSS,24-growth and targets of Myc,1,train
ADSS,6-dysregulated lncRNA/antisense transcripts,1,train
ADSS,8-translation,0,train
ADSS,9-translation,0,train
AFG3L2,10-unfolded protein response and mTORC1 signaling,1,train
AFG3L2,11-unfolded protein response and mTORC1 signaling,1,train
AFG3L2,15-proteasome genes,0,train
AFG3L2,16-NFkB signaling,0,train
AFG3L2,17-myeloid differentiation,1,train
AFG3L2,18-cell cycle,0,train
AFG3L2,19-mitochondrial protein translocation and oxidative phopshorylation,1,train
AFG3L2,20-cell cycle,0,train
AFG3L2,21-growth signaling,0,train
AFG3L2,22-growth and targets of Myc,1,train
AFG3L2,23-hnRNP genes,1,train
AFG3L2,24-growth and targets of Myc,1,train
AFG3L2,3-unfolded protein response,1,train
AFG3L2,6-dysregulated lncRNA/antisense transcripts,0,train
AFG3L2,7-translation,1,train
AFG3L2,8-translation,0,train
AFG3L2,9-translation,1,train
AGPAT5,14-erythroid differentiation,0,train
AGPAT5,15-proteasome genes,0,train
AGPAT5,17-myeloid differentiation,0,train
AGPAT5,18-cell cycle,0,train
AGPAT5,22-growth and targets of Myc,0,train
AGPAT5,23-hnRNP genes,0,train
AGPAT5,7-translation,0,train
AHCY,10-unfolded protein response and mTORC1 signaling,1,train
AHCY,11-unfolded protein response and mTORC1 signaling,1,train
AHCY,12-oxidative phosphorylation,0,train
AHCY,13-erythroid differentiation,1,train
AHCY,14-erythroid differentiation,1,train
AHCY,15-proteasome genes,0,train
AHCY,16-NFkB signaling,0,train
AHCY,17-myeloid differentiation,1,train
AHCY,18-cell cycle,0,train
AHCY,19-mitochondrial protein translocation and oxidative phopshorylation,0,train
AHCY,20-cell cycle,0,train
AHCY,21-growth signaling,0,train
AHCY,23-hnRNP genes,1,train
AHCY,24-growth and targets of Myc,1,train
AHCY,6-dysregulated lncRNA/antisense transcripts,1,train
AHCY,7-translation,1,train
AHCY,8-translation,1,train
AHCY,9-translation,1,train
AKIRIN2,10-unfolded protein response and mTORC1 signaling,0,train
AKIRIN2,13-erythroid differentiation,1,train
AKIRIN2,16-NFkB signaling,0,train
AKIRIN2,18-cell cycle,0,train
AKIRIN2,20-cell cycle,0,train
AKIRIN2,21-growth signaling,0,train
AKIRIN2,22-growth and targets of Myc,0,train
AKIRIN2,23-hnRNP genes,1,train
AKIRIN2,24-growth and targets of Myc,1,train
AKIRIN2,3-unfolded protein response,0,train
AKIRIN2,6-dysregulated lncRNA/antisense transcripts,1,train
AKIRIN2,7-translation,0,train
AKIRIN2,9-translation,0,train
ALAS1,10-unfolded protein response and mTORC1 signaling,0,train
ALAS1,11-unfolded protein response and mTORC1 signaling,0,train
ALAS1,12-oxidative phosphorylation,0,train
ALAS1,13-erythroid differentiation,0,train
ALAS1,14-erythroid differentiation,1,train
ALAS1,16-NFkB signaling,0,train
ALAS1,17-myeloid differentiation,1,train
ALAS1,18-cell cycle,0,train
ALAS1,21-growth signaling,0,train
ALAS1,23-hnRNP genes,1,train
ALAS1,3-unfolded protein response,0,train
ALAS1,6-dysregulated lncRNA/antisense transcripts,1,train
ALAS1,7-translation,1,train
ALAS1,8-translation,1,train
ALAS1,9-translation,1,train
ALDOA,10-unfolded protein response and mTORC1 signaling,1,train
ALDOA,11-unfolded protein response and mTORC1 signaling,1,train
ALDOA,12-oxidative phosphorylation,1,train
ALDOA,13-erythroid differentiation,1,train
ALDOA,14-erythroid differentiation,1,train
ALDOA,15-proteasome genes,1,train
ALDOA,16-NFkB signaling,1,train
ALDOA,17-myeloid differentiation,1,train
ALDOA,19-mitochondrial protein translocation and oxidative phopshorylation,1,train
ALDOA,21-growth signaling,1,train
ALDOA,22-growth and targets of Myc,1,train
ALDOA,23-hnRNP genes,1,train
ALDOA,24-growth and targets of Myc,1,train
ALDOA,3-unfolded protein response,1,train
ALDOA,6-dysregulated lncRNA/antisense transcripts,1,train
ALDOA,7-translation,1,train
ALDOA,9-translation,0,train
ALG14,11-unfolded protein response and mTORC1 signaling,0,train
ALG14,14-erythroid differentiation,0,train
ALG14,15-proteasome genes,1,train
ALG14,16-NFkB signaling,0,train
ALG14,17-myeloid differentiation,0,train
ALG14,19-mitochondrial protein translocation and oxidative phopshorylation,1,train
ALG14,21-growth signaling,0,train
ALG14,24-growth and targets of Myc,1,train
ALG14,3-unfolded protein response,1,train
ALG14,6-dysregulated lncRNA/antisense transcripts,0,train
ALG14,7-translation,0,train
ALG14,8-translation,0,train
ALYREF,10-unfolded protein response and mTORC1 signaling,0,train
ALYREF,11-unfolded protein response and mTORC1 signaling,0,train
ALYREF,14-erythroid differentiation,0,train
ALYREF,18-cell cycle,0,train
ALYREF,21-growth signaling,0,train
ALYREF,22-growth and targets of Myc,0,train
ALYREF,23-hnRNP genes,0,train
ALYREF,24-growth and targets of Myc,0,train
ALYREF,7-translation,0,train
ANGPT1,10-unfolded protein response and mTORC1 signaling,0,train
ANGPT1,11-unfolded protein response and mTORC1 signaling,0,train
ANGPT1,12-oxidative phosphorylation,0,train
ANGPT1,13-erythroid differentiation,0,train
ANGPT1,19-mitochondrial protein translocation and oxidative phopshorylation,0,train
ANGPT1,22-growth and targets of Myc,0,train
ANGPT1,24-growth and targets of Myc,0,train
ANGPT1,7-translation,0,train
ANKRD17,10-unfolded protein response and mTORC1 signaling,0,train
ANKRD17,11-unfolded protein response and mTORC1 signaling,1,train
ANKRD17,13-erythroid differentiation,1,train
ANKRD17,14-erythroid differentiation,0,train
ANKRD17,15-proteasome genes,0,train
ANKRD17,16-NFkB signaling,1,train
ANKRD17,17-myeloid differentiation,1,train
ANKRD17,18-cell cycle,0,train
ANKRD17,19-mitochondrial protein translocation and oxidative phopshorylation,1,train
ANKRD17,20-cell cycle,0,train
ANKRD17,21-growth signaling,0,train
ANKRD17,22-growth and targets of Myc,1,train
ANKRD17,23-hnRNP genes,1,train
ANKRD17,24-growth and targets of Myc,1,train
ANKRD17,3-unfolded protein response,0,train
ANKRD17,6-dysregulated lncRNA/antisense transcripts,1,train
ANKRD17,9-translation,0,train
ANKRD39,11-unfolded protein response and mTORC1 signaling,0,train
ANKRD39,12-oxidative phosphorylation,0,train
ANKRD39,14-erythroid differentiation,1,train
ANKRD39,15-proteasome genes,0,train
ANKRD39,16-NFkB signaling,0,train
ANKRD39,17-myeloid differentiation,0,train
ANKRD39,18-cell cycle,1,train
ANKRD39,19-mitochondrial protein translocation and oxidative phopshorylation,1,train
ANKRD39,21-growth signaling,0,train
ANKRD39,22-growth and targets of Myc,1,train
ANKRD39,23-hnRNP genes,1,train
ANKRD39,24-growth and targets of Myc,1,train
ANKRD39,3-unfolded protein response,0,train
ANKRD39,7-translation,0,train
ANKRD39,8-translation,1,train
ANKRD39,9-translation,1,train
AP2A1,10-unfolded protein response and mTORC1 signaling,0,train
AP2A1,13-erythroid differentiation,0,train
AP2A1,14-erythroid differentiation,1,train
AP2A1,15-proteasome genes,1,train
AP2A1,16-NFkB signaling,0,train
AP2A1,17-myeloid differentiation,0,train
AP2A1,18-cell cycle,0,train
AP2A1,19-mitochondrial protein translocation and oxidative phopshorylation,0,train
AP2A1,20-cell cycle,0,train
AP2A1,21-growth signaling,1,train
AP2A1,23-hnRNP genes,0,train
AP2A1,3-unfolded protein response,0,train
AP2A1,7-translation,1,train
AP2A1,8-translation,1,train
AP2A1,9-translation,1,train
AP2S1,10-unfolded protein response and mTORC1 signaling,0,train
AP2S1,11-unfolded protein response and mTORC1 signaling,0,train
AP2S1,13-erythroid differentiation,1,train
AP2S1,14-erythroid differentiation,1,train
AP2S1,16-NFkB signaling,1,train
AP2S1,18-cell cycle,0,train
AP2S1,20-cell cycle,0,train
AP2S1,21-growth signaling,0,train
AP2S1,22-growth and targets of Myc,1,train
AP2S1,23-hnRNP genes,1,train
AP2S1,24-growth and targets of Myc,1,train
AP2S1,3-unfolded protein response,0,train
AP2S1,7-translation,0,train
AP2S1,8-translation,1,train
AREL1,10-unfolded protein response and mTORC1 signaling,0,train
AREL1,14-erythroid differentiation,0,train
AREL1,15-proteasome genes,0,train
AREL1,16-NFkB signaling,0,train
AREL1,18-cell cycle,0,train
AREL1,22-growth and targets of Myc,1,train
AREL1,23-hnRNP genes,0,train
AREL1,7-translation,1,train
AREL1,8-translation,1,train
AREL1,9-translation,1,train
ARFGEF1,10-unfolded protein response and mTORC1 signaling,1,train
ARFGEF1,11-unfolded protein response and mTORC1 signaling,1,train
ARFGEF1,13-erythroid differentiation,0,train
ARFGEF1,14-erythroid differentiation,0,train
ARFGEF1,15-proteasome genes,1,train
ARFGEF1,18-cell cycle,0,train
ARFGEF1,19-mitochondrial protein translocation and oxidative phopshorylation,0,train
ARFGEF1,20-cell cycle,0,train
ARFGEF1,21-growth signaling,0,train
ARFGEF1,22-growth and targets of Myc,0,train
ARFGEF1,3-unfolded protein response,0,train
ARFGEF1,7-translation,1,train
ARGLU1,10-unfolded protein response and mTORC1 signaling,0,train
ARGLU1,11-unfolded protein response and mTORC1 signaling,0,train
ARGLU1,13-erythroid differentiation,1,train
ARGLU1,14-erythroid differentiation,1,train
ARGLU1,15-proteasome genes,0,train
ARGLU1,16-NFkB signaling,0,train
ARGLU1,17-myeloid differentiation,1,train
ARGLU1,18-cell cycle,0,train
ARGLU1,20-cell cycle,0,train
ARGLU1,22-growth and targets of Myc,0,train
ARGLU1,24-growth and targets of Myc,1,train
ARGLU1,3-unfolded protein response,1,train
ARGLU1,6-dysregulated lncRNA/antisense transcripts,1,train
ARGLU1,7-translation,1,train
ARGLU1,8-translation,1,train
ARGLU1,9-translation,0,train
ARHGAP6,10-unfolded protein response and mTORC1 signaling,0,train
ARHGAP6,11-unfolded protein response and mTORC1 signaling,1,train
ARHGAP6,12-oxidative phosphorylation,0,train
ARHGAP6,13-erythroid differentiation,1,train
ARHGAP6,15-proteasome genes,1,train
ARHGAP6,16-NFkB signaling,0,train
ARHGAP6,17-myeloid differentiation,0,train
ARHGAP6,18-cell cycle,0,train
ARHGAP6,19-mitochondrial protein translocation and oxidative phopshorylation,1,train
ARHGAP6,20-cell cycle,0,train
ARHGAP6,23-hnRNP genes,1,train
ARHGAP6,24-growth and targets of Myc,1,train
ARHGAP6,3-unfolded protein response,0,train
ARHGAP6,6-dysregulated lncRNA/antisense transcripts,0,train
ARHGAP6,8-translation,0,train
ARID5B,10-unfolded protein response and mTORC1 signaling,0,train
ARID5B,13-erythroid differentiation,1,train
ARID5B,14-erythroid differentiation,1,train
ARID5B,15-proteasome genes,0,train
ARID5B,17-myeloid differentiation,0,train
ARID5B,18-cell cycle,0,train
ARID5B,20-cell cycle,0,train
ARID5B,21-growth signaling,0,train
ARID5B,23-hnRNP genes,0,train
ARID5B,3-unfolded protein response,0,train
ARID5B,7-translation,1,train
ARID5B,8-translation,1,train
ARID5B,9-translation,0,train
ARIH1,10-unfolded protein response and mTORC1 signaling,0,train
ARIH1,13-erythroid differentiation,1,train
ARIH1,14-erythroid differentiation,1,train
ARIH1,17-myeloid differentiation,1,train
ARIH1,18-cell cycle,0,train
ARIH1,19-mitochondrial protein translocation and oxidative phopshorylation,1,train
ARIH1,21-growth signaling,0,train
ARIH1,22-growth and targets of Myc,1,train
ARIH1,24-growth and targets of Myc,1,train
ARIH1,3-unfolded protein response,0,train
ARIH1,6-dysregulated lncRNA/antisense transcripts,0,train
ARIH1,7-translation,0,train
ARIH1,8-translation,1,train
ARIH1,9-translation,0,train
ARL1,11-unfolded protein response and mTORC1 signaling,0,train
ARL1,13-erythroid differentiation,0,train
ARL1,15-proteasome genes,0,train
ARL1,16-NFkB signaling,1,train
ARL1,17-myeloid differentiation,1,train
ARL1,21-growth signaling,1,train
ARL1,22-growth and targets of Myc,0,train
ARL1,23-hnRNP genes,0,train
ARL1,6-dysregulated lncRNA/antisense transcripts,0,train
ARL1,7-translation,0,train
ARL1,8-translation,1,train
ARL6IP6,10-unfolded protein response and mTORC1 signaling,0,train
ARL6IP6,13-erythroid differentiation,0,train
ARL6IP6,15-proteasome genes,0,train
ARL6IP6,17-myeloid differentiation,0,train
ARL6IP6,18-cell cycle,0,train
ARL6IP6,19-mitochondrial protein translocation and oxidative phopshorylation,0,train
ARL6IP6,20-cell cycle,0,train
ARL6IP6,23-hnRNP genes,0,train
ARL6IP6,7-translation,1,train
ARL6IP6,8-translation,1,train
ARL6IP6,9-translation,1,train
ARPC1B,10-unfolded protein response and mTORC1 signaling,0,train
ARPC1B,11-unfolded protein response and mTORC1 signaling,1,train
ARPC1B,12-oxidative phosphorylation,1,train
ARPC1B,13-erythroid differentiation,1,train
ARPC1B,14-erythroid differentiation,1,train
ARPC1B,15-proteasome genes,1,train
ARPC1B,16-NFkB signaling,1,train
ARPC1B,17-myeloid differentiation,0,train
ARPC1B,18-cell cycle,1,train
ARPC1B,19-mitochondrial protein translocation and oxidative phopshorylation,1,train
ARPC1B,20-cell cycle,0,train
ARPC1B,21-growth signaling,1,train
ARPC1B,22-growth and targets of Myc,1,train
ARPC1B,23-hnRNP genes,1,train
ARPC1B,24-growth and targets of Myc,1,train
ARPC1B,3-unfolded protein response,0,train
ARPC1B,6-dysregulated lncRNA/antisense transcripts,0,train
ARPC1B,7-translation,0,train
ARPC1B,8-translation,0,train
ARPC1B,9-translation,0,train
ARRB2,10-unfolded protein response and mTORC1 signaling,0,train
ARRB2,12-oxidative phosphorylation,0,train
ARRB2,13-erythroid differentiation,1,train
ARRB2,14-erythroid differentiation,1,train
ARRB2,19-mitochondrial protein translocation and oxidative phopshorylation,0,train
ARRB2,20-cell cycle,0,train
ARRB2,21-growth signaling,1,train
ARRB2,22-growth and targets of Myc,1,train
ARRB2,24-growth and targets of Myc,1,train
ARRB2,3-unfolded protein response,0,train
ARRB2,6-dysregulated lncRNA/antisense transcripts,0,train
ARRB2,7-translation,1,train
ARRB2,8-translation,1,train
ARRB2,9-translation,1,train
ASB6,10-unfolded protein response and mTORC1 signaling,1,train
ASB6,12-oxidative phosphorylation,0,train
ASB6,13-erythroid differentiation,1,train
ASB6,16-NFkB signaling,0,train
ASB6,17-myeloid differentiation,1,train
ASB6,18-cell cycle,0,train
ASB6,19-mitochondrial protein translocation and oxidative phopshorylation,1,train
ASB6,20-cell cycle,1,train
ASB6,21-growth signaling,1,train
ASB6,23-hnRNP genes,1,train
ASB6,3-unfolded protein response,0,train
ASB6,6-dysregulated lncRNA/antisense transcripts,0,train
ASB6,7-translation,0,train
ASB6,8-translation,0,train
ASB6,9-translation,0,train
ASCC3,10-unfolded protein response and mTORC1 signaling,0,train
ASCC3,11-unfolded protein response and mTORC1 signaling,0,train
ASCC3,12-oxidative phosphorylation,1,train
ASCC3,13-erythroid differentiation,1,train
ASCC3,14-erythroid differentiation,1,train
